0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:56 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/Exercise001.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/images/k-logo.png HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/timerscript/timer.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/underscore.js HTTP/1.1" 200 52919
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/backbone.js HTTP/1.1" 200 71365
0:0:0:0:0:0:0:1 - - [26/Aug/2015:10:20:57 +0530] "GET /Day-02-Backbone/jslibs/jquery-1.11.3.js HTTP/1.1" 200 284394
